datetime_x,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,DHI,DNI,Temperature,Dew Point,Wind Speed,Wind Direction,Relative Humidity,Pressure,Surface solar radiation downwards,datetime_y,min_temp,max_temp,min_dew,max_dew,max_wind_speed,GTI
2014-05-16 14:00:00,1159.792,881.7548,665.2141,216.5407,763.9573,881.7548,216.5407,763.9573,21.16763000000003,14.791560000000004,5.502265914657302,334.9908247026244,66.97955729154074,1011.2831,3293952.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,896.9331124108155
2014-05-16 15:00:00,994.4532,739.2832,549.8246,189.4586,735.9008,739.2832,189.4586,735.9008,21.28604000000001,14.546320000000035,6.155716688711153,340.1116710381611,65.45166148239551,1010.6531,3020160.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,755.9321289272872
2014-05-16 16:00:00,777.3091,552.7986,396.0671,156.7314,676.7208,552.7986,156.7314,676.7208,21.32498000000004,14.490750000000048,5.9735141139784345,341.34474807343,65.06184374869318,1010.345,2530624.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,560.5671939729752
2014-05-16 17:00:00,523.175,339.9307,223.498,116.4328,562.5495,339.9307,116.4328,562.5495,21.17358000000001,15.153770000000009,5.347143917516686,343.16558885453344,68.53411966697853,1010.415,1958528.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,332.14952561997615
2014-05-16 18:00:00,249.3837,129.695,66.5399,63.1551,323.6271,129.695,63.1551,323.6271,20.87252000000001,15.452230000000045,5.594915809297395,349.15033244058145,71.16248569174094,1010.345,1185600.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,109.8356775162251
2014-05-16 19:00:00,22.2338,6.9354,1.3165,5.6188,21.5226,6.9354,5.6188,21.5226,20.28872000000001,15.886470000000031,5.656964488851067,358.38199195300024,75.8464539519296,1010.80875,425088.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,5.358557696216177
2014-05-16 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.199760000000023,16.40377000000001,5.077421674081609,8.843625967704298,83.86404773606039,1010.9631,24896.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,0.0
2014-05-16 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.26144000000005,16.243070000000046,4.430138739148132,15.409854186788948,88.02244628529162,1011.7125,0.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,0.0
2014-05-16 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.043180000000007,15.980000000000018,3.46157112858005,6.728575056680015,87.75183914318367,1011.6175,0.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,0.0
2014-05-16 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.150400000000047,15.791740000000004,3.356009664357175,4.995558153595923,86.12092395919962,1011.6894,0.0,2014-05-16,16.78344000000004,21.36422000000005,14.18258000000003,17.06295,6.155716688711153,0.0
2014-05-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.038200000000018,15.635550000000023,3.385363568903318,5.340815573050833,85.86747157327791,1011.2456,0.0,2014-05-17,16.353660000000048,23.52688000000001,13.292320000000018,16.354460000000017,7.672132856706386,0.0
2014-05-17 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.85644000000002,15.793080000000032,3.017847835902665,7.620353394323772,87.73400346392417,1010.9856,0.0,2014-05-17,16.353660000000048,23.52688000000001,13.292320000000018,16.354460000000017,7.672132856706386,0.0
2014-05-17 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.26284000000004,15.863500000000045,2.3353928709729583,11.486353480926384,91.49099379820132,1010.25125,0.0,2014-05-17,16.353660000000048,23.52688000000001,13.292320000000018,16.354460000000017,7.672132856706386,0.0
2014-05-17 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.944420000000036,15.563870000000009,1.8352682297025995,15.249812924065807,91.58075696828544,1010.4344,0.0,2014-05-17,16.353660000000048,23.52688000000001,13.292320000000018,16.354460000000017,7.672132856706386,0.0
2014-05-17 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.896330000000034,15.437550000000044,1.7808650110205713,16.33078007413735,91.11966071517256,1010.3794,0.0,2014-05-17,16.353660000000048,23.52688000000001,13.292320000000018,16.354460000000017,7.672132856706386,0.0
2014-05-17 05:00:00,12.0696,3.4651,0.5722,2.8929,12.3337,3.4651,2.8929,12.3337,16.353660000000048,15.044579999999996,1.7081924779014366,24.71440714806083,91.9650821248628,1010.7575,0.0,2014-05-17,16.353660000000048,23.52688000000001,13.292320000000018,16.354460000000017,7.672132856706386,2.757141866972319
