datetime,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,DHI,DNI,Temperature,Dew Point,Wind Speed,Wind Direction,Relative Humidity,Pressure,Surface solar radiation downwards
2006-03-16 07:00:00,222.9886,139.0582,98.5488,40.5094,551.6015,130.381,49.1143,408.9282,9.50472000000002,1.0259599999999978,1.015543213163838,7.651873885264962,55.4367708511237,1014.64875,10688.0
2006-03-16 08:00:00,513.4138,384.6414,319.3602,65.2811,849.2174,384.6414,65.2811,849.2174,12.151820000000043,0.8732500000000414,0.925437285134028,14.093066621349053,45.97895840463055,1014.8619,465216.0
2006-03-16 09:00:00,767.3704,613.9064,537.7537,76.1527,963.0724,613.9064,76.1527,963.0724,13.922000000000024,-3.600319999999954,1.0260695345353683,125.54074848941202,29.48530723328578,1015.0006,1306688.0
2006-03-16 10:00:00,967.5558,798.1292,716.7587,81.3706,1019.4683,798.1292,81.3706,1019.4683,15.63754,-5.762499999999989,1.2914547164679815,189.82680507200348,22.422105763071343,1015.1456,2107776.0
2006-03-16 11:00:00,1100.3334,921.8101,838.7548,83.0553,1049.464,921.8101,83.0553,1049.464,16.544820000000016,-5.333699999999965,2.1007572196593407,206.8248692532924,21.862899851344974,1014.16125,2748096.0
2006-03-16 12:00:00,1156.6633,974.3556,891.2508,83.1048,1060.9664,974.3556,83.1048,1060.9664,17.80087000000003,-2.912819999999954,2.8276117857266776,211.8380708268037,24.22315287649088,1014.0606,3188096.0
2006-03-16 13:00:00,1132.7198,951.741,869.8606,81.8804,1057.3223,951.741,81.8804,1057.3223,18.452420000000014,-2.465949999999964,3.313138336771811,214.22997250329564,24.036999270802028,1013.35125,3368064.0
2006-03-16 14:00:00,1030.152,856.5226,778.0822,78.4405,1039.6575,856.5226,78.4405,1039.6575,19.676540000000045,-4.627479999999991,3.611066711252071,214.07516655892067,18.946626245076025,1012.6706,3282112.0
2006-03-16 15:00:00,855.9712,696.5908,624.0156,72.5751,1002.7159,696.5908,72.5751,1002.7159,19.53866000000005,-3.7286699999999655,3.601529142927977,212.36490215501112,20.445616151508936,1012.2406,2934336.0
2006-03-16 16:00:00,622.0723,485.0472,421.8534,63.1938,930.1306,485.0472,63.1938,930.1306,19.222200000000043,-4.075869999999952,3.358464868056221,209.7981561532511,20.3156871779641,1011.7144,2356160.0
2006-03-16 17:00:00,344.421,242.2638,195.5072,46.7566,762.822,242.2638,46.7566,762.822,19.02697000000001,-3.349829999999997,2.97090173933816,206.6680961039865,21.713555218459,1012.0125,1603968.0
2006-03-16 18:00:00,62.4151,32.8149,20.6598,12.1551,222.1802,32.8149,12.1551,222.1802,17.899130000000014,-4.577949999999987,2.1591307398658377,199.14945995191084,21.250242724544425,1011.8856,766784.0
2006-03-16 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.95666,-4.793979999999976,1.6447788180993403,179.4929050928281,23.64491881688506,1012.88875,99264.0
2006-03-16 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.029530000000022,1.5149800000000369,1.3845240795461848,147.94327832053202,42.59268663190409,1013.2444,0.0
2006-03-16 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.567530000000032,-4.314120000000003,1.3423586809206582,86.61131910885724,26.80358250511688,1013.6481,0.0
2006-03-16 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.69467000000003,-0.520150000000001,1.4451663577145155,53.168094799331776,45.76798776798103,1014.02625,0.0
2006-03-16 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.41360000000003,-1.3152000000000044,1.6076018194028674,44.04743166218879,43.9976866869584,1014.02375,0.0
